28, 0
0, 10
17, 12
35, 0
58, 0
0, 35
23, 11
5, 34
47, 6
0, 18
41, 0
16, 0
6, 0
27, 6
0, 32
46, 0
7, 0
33, 12
7, 6
50, 0
0, 38
15, 0
0, 34
0, 14
42, 0
32, 0
67, 6
13, 7
0, 3
34, 7
0, 27
6, 40
0, 7
27, 0
14, 0
7, 7
21, 6
13, 35
34, 12
16, 7
20, 0
6, 15
7, 26
7, 18
18, 6
20, 7
7, 28
36, 6
0, 6
21, 41
27, 21
19, 0
14, 7
19, 7
20, 14
41, 7
14, 13
26, 7
47, 35
53, 18
12, 13
13, 6
14, 14
6, 14
54, 0
7, 14
31, 7
57, 7
67, 0
13, 21
42, 13
40, 7
13, 30
27, 13
33, 0
7, 34
0, 13
9, 21
14, 15
0, 37
13, 12
21, 21
0, 0
20, 16
20, 53
13, 19
21, 15
14, 34
13, 33
33, 7
21, 0
13, 27
13, 13
23, 14
7, 2
12, 20
0, 21
12, 7
14, 20
16, 16
13, 34
14, 8
6, 12
14, 19
8, 8
15, 6
0, 15
18, 7
9, 22
21, 7
6, 21
28, 28
34, 35
15, 14
8, 25
3, 34
0, 5
6, 10
16, 12
23, 0
21, 13
12, 17
6, 8
7, 13
21, 9
3, 7
19, 13
13, 0
6, 26
27, 15
20, 21
18, 24
16, 38
6, 7
42, 14
22, 0
35, 22
15, 21
20, 6
35, 8
39, 7
23, 20
19, 21
20, 10
0, 19
35, 6
10, 0
28, 23
15, 17
6, 27
7, 19
28, 14
6, 20
14, 6
3, 14
3, 13
49, 6
24, 28
14, 21
7, 37
7, 23
13, 25
28, 21
35, 13
17, 3
26, 14
8, 28
17, 0
10, 15
14, 27
10, 10
17, 14
71, 33
31, 28
27, 40
27, 34
55, 34
37, 7
48, 60
23, 21
57, 11
26, 18
6, 52
40, 24
30, 31
21, 31
46, 6
20, 36
7, 3
10, 17
3, 6
5, 35
29, 21
10, 30
14, 28
14, 10
16, 3
42, 20
3, 12
0, 17
30, 7
21, 45
15, 23
43, 7
16, 19
7, 10
56, 14
20, 17
13, 38
27, 25
